,Latitude,Longitude,Burglary_Risk,2014-2018,label
48,40.506561,-74.254377,1,83886.46428714994,1
49,40.506771,-74.235762,1,83886.46428714994,1
50,40.507055,-74.234175,1,83886.46428714994,1
51,40.507248,-74.250455,1,83886.46428714994,1
52,40.5074,-74.24817,1,83886.46428714994,1
53,40.507604,-74.252479,2,90058.88686271428,1
54,40.507652,-74.251608,1,83886.46428714994,1
55,40.507704,-74.227511,1,107356.63077535896,1
56,40.507723,-74.223767,1,107356.63077535896,1
57,40.507851,-74.246491,2,83886.46428714994,1
58,40.507907,-74.250747,1,83886.46428714994,1
59,40.507957,-74.233468,1,83886.46428714994,1
60,40.507959,-74.249331,1,83886.46428714994,1
61,40.508066,-74.245632,1,83886.46428714994,1
62,40.508116,-74.230191,2,83886.46428714994,1
63,40.508272,-74.251729,2,90058.88686271428,1
64,40.508455,-74.234561,1,83886.46428714994,1
65,40.508599,-74.253187,2,90058.88686271428,1
66,40.508643,-74.248288,1,83886.46428714994,1
67,40.508756,-74.222657,3,123709.13039347171,1
68,40.508822,-74.230438,1,83886.46428714994,1
69,40.509171,-74.24648,1,90058.88686271428,1
70,40.509214,-74.235353,1,83886.46428714994,1
71,40.509241,-74.243114,1,83886.46428714994,1
72,40.509262,-74.231362,1,83886.46428714994,1
73,40.509308,-74.236626,1,83886.46428714994,1
74,40.509315,-74.241969,3,83886.46428714994,1
75,40.50936,-74.247188,1,90058.88686271428,1
76,40.509524,-74.224132,3,83886.46428714994,1
77,40.509806,-74.244366,4,83886.46428714994,1
78,40.510096,-74.247875,2,90058.88686271428,1
79,40.510195,-74.252067,1,90058.88686271428,1
80,40.510225,-74.243138,5,83886.46428714994,1
81,40.510307,-74.245965,1,90058.88686271428,1
82,40.510447,-74.239392,1,83886.46428714994,1
83,40.510498,-74.237216,1,83886.46428714994,1
84,40.510536,-74.235335,1,83886.46428714994,1
85,40.51066,-74.248416,2,90058.88686271428,1
86,40.510748,-74.251451,1,90058.88686271428,1
87,40.510873,-74.244567,2,90058.88686271428,1
88,40.511005,-74.240064,1,83886.46428714994,1
89,40.511016,-74.252525,2,90058.88686271428,1
90,40.511028,-74.24764,1,90058.88686271428,1
91,40.511075,-74.230518,1,83886.46428714994,1
92,40.511154,-74.241283,5,83886.46428714994,1
93,40.511326,-74.236593,1,83886.46428714994,1
94,40.511429,-74.243458,3,90058.88686271428,1
95,40.511431,-74.245998,1,90058.88686271428,1
96,40.511452,-74.238439,1,83886.46428714994,1
97,40.511576,-74.240418,1,83886.46428714994,1
98,40.511577,-74.249302,6,90058.88686271428,1
99,40.511693,-74.232176,1,83886.46428714994,1
100,40.511745,-74.242878,2,90058.88686271428,1
101,40.51180398,-74.25003446,10,90058.88686271428,1
102,40.51203825,-74.24975495,5,90058.88686271428,1
103,40.512069,-74.244828,1,90058.88686271428,1
104,40.512082,-74.247623,4,90058.88686271428,1
105,40.512095,-74.234112,1,83886.46428714994,1
106,40.512166,-74.250648,2,90058.88686271428,1
107,40.512197,-74.23931,2,90058.88686271428,1
108,40.512616,-74.24952,2,90058.88686271428,1
109,40.512706,-74.241844,1,90058.88686271428,1
110,40.512739,-74.250422,3,90058.88686271428,1
111,40.512777,-74.246266,2,90058.88686271428,1
112,40.512841,-74.204329,1,123709.13039347171,1
113,40.51288259,-74.24899059,1,90058.88686271428,1
114,40.513001,-74.240737,2,90058.88686271428,1
115,40.513224,-74.237817,1,90058.88686271428,1
116,40.513341,-74.248063,2,90058.88686271428,1
117,40.513354,-74.245315,1,90058.88686271428,1
118,40.513553,-74.239978,2,90058.88686271428,1
119,40.513653,-74.19668,1,123709.13039347171,1
120,40.513692,-74.244761,1,90058.88686271428,1
121,40.513959,-74.232117,2,83886.46428714994,1
122,40.514039,-74.236339,1,83886.46428714994,1
123,40.514061,-74.193719,1,123709.13039347171,1
124,40.514085,-74.243239,1,90058.88686271428,1
125,40.514103,-74.205028,1,123709.13039347171,1
126,40.514163,-74.246588,1,90058.88686271428,1
127,40.514237,-74.195766,2,123709.13039347171,1
128,40.514555,-74.196711,1,123709.13039347171,1
129,40.514695,-74.204375,1,123709.13039347171,1
130,40.514697,-74.24577,1,90058.88686271428,1
131,40.51472,-74.235104,1,83886.46428714994,1
132,40.514744,-74.246635,1,90058.88686271428,1
133,40.514744,-74.23926,2,90058.88686271428,1
134,40.514779,-74.248458,3,90058.88686271428,1
